clips	text	text_process	pictos	tokens
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-186	et surtout surtout job eut sept fils et trois filles	et surtout surtout job eut sept fils et trois filles	[11399, 9839, 32761, 7248, 9887, 11399, 2629, 2484]	et passé avoir 7 fils et trois enfant
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-49	satan se rapprocha de dieu	satan se rapprocha de dieu	[9839, 36935, 6879, 7074, 35069]	passé haut_du_corps approcher de dieu
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-53	je te jure qu'il te maudira en face	je te jure qu'il te maudira en face	[9829, 6632, 6625, 11611, 11351, 6480, 6625, 38936, 27365]	prochain me toi qu'as-tu_dit? que il toi haïr en_face
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-184	il doubla ses troupeaux	il doubla ses troupeaux	[9839, 6480, 16345, 12276, 10246]	passé il double ses troupeau
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-57	il fallait qu'il en ait le coeur net	il fallait qu'il en ait le coeur net	[15523, 11351, 6480, 11709, 32761, 8476, 2715]	devoir que il au avoir le cœur_humain
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-25	toutes les richesses de job fais-en ce que tu veux	toutes les richesses de job fais-en ce que tu veux	[27091, 8477, 37803, 7074, 4630, 6190, 11709, 7095, 11351, 6625, 5441]	ensemble les riche de argent faire au celui-là que toi vouloir
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-52	mais si tu touches à la chair et aux os de job	mais si tu touches à la chair et aux os de job	[11377, 28359, 6625, 39051, 7041, 8476, 11399, 7041, 2972, 7074, 7772]	alors_que si toi tâter à le et à os de museau
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-107	ne sais-tu pas que le triomphe des méchants est de courte durée qui es-tu pour oser faire de dieu l'objet de ta colère	ne sais-tu pas que le triomphe des méchants est de courte durée qui es-tu pour oser faire de dieu l'objet de ta colère	[16885, 6625, 5526, 11351, 8476, 23371, 7074, 32526, 36480, 7074, 26002, 17052, 9857, 36480, 6625, 7194, 26144, 6190, 7074, 35069, 8476, 11318, 12281, 37420]	savoir toi non que le succès de méchant être de court délai anonymes être toi pour essayer faire de dieu le truc ton se_mettre_en_colère
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-45	nu je suis sorti du ventre de ma mère nu	nu je suis sorti du ventre de ma mère nu	[31264, 9839, 6632, 5568, 7074, 2786, 7074, 12264, 31148, 31264]	dénudé passé me sortir de ventre de mon mère dénudé
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-116	je suis un homme bildad un homme juste	je suis un homme bildad un homme juste	[6632, 36480, 2627, 4665, 36935, 2627, 4665, 21381]	me être un homme haut_du_corps un homme juste
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-54	dieu prit un bon moment pour réfléchir d'une certaine façon	dieu prit un bon moment pour réfléchir d'une certaine façon	[9839, 35069, 10148, 2627, 34641, 22633, 7194, 38796, 7074, 8474, 37236]	passé dieu prendre un exact instant pour penser de une vérité
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-160	tes amis ont raison pour le reste	tes amis ont raison pour le reste	[12283, 25792, 8715, 7194, 8476, 37779]	à_toi relation sûr pour le quelqu'un
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-159	pas plus que ma justice en cela	pas plus que ma justice en cela	[5526, 5508, 11351, 12264, 8612, 11709, 6906]	non plus_ que mon juriste au celle-là
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-179	qu'ils avaient prononcées	qu'ils avaient prononcées	[11351, 9839, 7032]	que passé ils
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-102	ce que je dis alors le deuxième vieillard bildad se redressa et regarda job	ce que je dis alors le deuxième vieillard bildad se redressa et regarda job	[7095, 11351, 9839, 6632, 9693, 8476, 34477, 36935, 8152, 11399, 6564, 37779]	celui-là que passé me dire le deuxième haut_du_corps se_redresser et voir quelqu'un
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-132	et leur dit vous me décevez tous les trois toi sofare	et leur dit vous me décevez tous les trois toi sofare	[11399, 12274, 9693, 7304, 6632, 35545, 5596, 8477, 2629, 6625, 36935]	et leur dire vous me malheureux tout les trois toi haut_du_corps
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-12	ce qui se passait justement sur cette terre	ce qui se passait justement sur cette terre	[7095, 9839, 11351, 31999, 5451, 8476, 3160]	celui-là passé que passer sur le terre
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-48	dieu a repris que le nom de dieu soit béni	dieu a repris que le nom de dieu soit béni	[9839, 35069, 37163, 10148, 11351, 8476, 38570, 7074, 35069, 30896]	passé dieu une_autre_fois prendre que le nom de dieu bénédiction
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-106	mais tes paroles elles-mêmes sont un péché	mais tes paroles elles-mêmes sont un péché	[11377, 12283, 7031, 36480, 2627]	alors_que à_toi elles-mêmes être un
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-39	moi seul ai pu en réchapper	moi seul ai pu en réchapper	[9839, 6632, 7253, 35949, 11709, 8087]	passé me seul pouvoir au arrêter
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-83	le jour de ma naissance soit maudit	le jour de ma naissance soit maudit	[8476, 37371, 7074, 12264, 32168, 38936]	le jour de mon accoucher haïr
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-190	il connut les fils de ses fils jusqu'à la quatrième génération	il connut les fils de ses fils jusqu'à la quatrième génération	[9839, 6480, 8456, 8477, 9887, 7074, 12276, 9887, 7771, 8476, 34475, 24515]	passé il connaître les fils de ses fils jusqu’à le quatrième génération
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-9	et tous les soirs job offrait un holocauste à dieu	et tous les soirs job offrait un holocauste à dieu	[11399, 5596, 8477, 26997, 9839, 37779, 16881, 2627, 7041, 35069]	et tout les nuit passé quelqu'un offrir un à dieu
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-154	est-ce que c'est toi qui dirige les nuages	est-ce que c'est toi qui dirige les nuages	[3418, 7095, 36480, 6625, 11351, 8994, 8477, 2883]	est-ce_que celui-là être toi que guider les nuage
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-56	mais mais satan avait réussi à semer le doute dans son esprit	mais mais satan avait réussi à semer le doute dans son esprit	[11377, 9839, 36935, 29635, 7041, 7245, 8476, 11696, 7034, 12272, 38004]	alors_que passé haut_du_corps réussir à ensemencer le doute dans son essentiel
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-38	et toutes tes ânesses ils ont tué tous les serviteurs	et toutes tes ânesses ils ont tué tous les serviteurs	[11399, 27091, 12283, 2291, 9839, 7032, 8160, 5596, 8477, 8162]	et ensemble à_toi âne passé ils assassiner tout les maître_d'hôtel
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-103	et il lui dit ne blasphème pas job	et il lui dit ne blasphème pas job	[11399, 9839, 6480, 6481, 9693, 5526, 37779]	et passé il lui dire non quelqu'un
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-10	afin d'être pardonné si par mégarde lui ou l'un de ses enfants avait péché un jour	afin d'être pardonné si par mégarde lui ou l'un de ses enfants avait péché un jour	[7194, 38360, 28359, 7212, 5504, 11280, 6481, 11317, 8476, 2627, 7074, 12276, 6975, 2627, 37371]	pour excuser si par pas_d'accord agent_de_police_municipale lui ou le un de ses enfants un jour
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-76	était si terrible	était si terrible	[36480, 28359]	être si
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-11	dieu convoqua dans la cour céleste ses enfants ses enfants dont l'occupation consistait à parcourir la terre et à reporter rapporter à dieu	dieu convoqua dans la cour céleste ses enfants ses enfants dont l'occupation consistait à parcourir la terre et à reporter rapporter à dieu	[9839, 35069, 8207, 7034, 8476, 33065, 12276, 6975, 12276, 6975, 8476, 16089, 5581, 7041, 10186, 8476, 3160, 11399, 7041, 37163, 6553, 37223, 7041, 35069]	passé dieu rencontre dans le cour ses enfants ses enfants le faire_carrière_ exister à en_route le terre et à une_autre_fois porter ramener à dieu
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-162	je ne je ne suis pas le dieu qui punit uniquement le méchant et qui récompense l'homme pieux	je ne je ne suis pas le dieu qui punit uniquement le méchant et qui récompense l'homme pieux	[6632, 36480, 5526, 8476, 35069, 11351, 31188, 8476, 32526, 11399, 11351, 7218, 8476, 4665]	me être non le dieu que confronter le méchant et que gagner le homme
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-145	seulement dieu ne s'intéressait plus à ce pari stupide	seulement dieu ne s'intéressait plus à ce pari stupide	[9839, 35069, 37709, 5508, 7041, 7095, 4729]	passé dieu intéresser plus_ à celui-là loto_foot
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-51	seigneur tu connais les hommes tant que tu touches à leur fortune tout va bien pour eux	seigneur tu connais les hommes tant que tu touches à leur fortune tout va bien pour eux	[36942, 6625, 8456, 8477, 4665, 7081, 6625, 39051, 7041, 12274, 11164, 13630, 7194, 7033]	aristocratique toi connaître les homme pendant toi tâter à leur chance ça_va pour eux
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-23	puis il dit à satan	puis il dit à satan	[6480, 9693, 7041, 36935]	il dire à haut_du_corps
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-81	et sept nuits aucun des quatre hommes ne parla à l'aube du huitième jour	et sept nuits aucun des quatre hommes ne parla à l'aube du huitième jour	[11399, 7248, 26997, 9839, 5800, 7074, 2630, 4665, 6517, 7041, 8476, 29965, 7074, 2634, 37371]	et 7 nuit passé aucun de quatre homme parler à le aube de huitième_ jour
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-147	et il s'adressa job	et il s'adressa job	[11399, 9839, 6480, 21828, 37779]	et passé il envoyer quelqu'un
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-121	ah vous auriez mieux fait de vous taire cela au moins	ah vous auriez mieux fait de vous taire cela au moins	[9839, 7304, 11705, 6190, 7074, 5936, 6906, 11709, 5512]	passé vous améliorer faire de silence celle-là au minimum
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-4	le plus riche de tout l'orient	le plus riche de tout l'orient	[8476, 5508, 37803, 7074, 5596, 8476]	le plus_ riche de tout le
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-19	seigneur tu lui as tout donné les meilleures terres les meilleurs troupeaux les plus beaux enfants quel mérite a-t-il à te respecter	seigneur tu lui as tout donné les meilleures terres les meilleurs troupeaux les plus beaux enfants quel mérite a-t-il à te respecter	[36942, 9839, 6625, 6481, 5596, 17040, 8477, 22627, 3160, 8477, 22627, 10246, 8477, 5508, 4660, 6975, 22624, 32761, 3042, 6480, 6625, 36720]	aristocratique passé toi lui tout donner les admirer terre les admirer troupeau les plus_ mignon enfants quelle avoir t il toi respecter
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-73	qu'ils possédaient a été dépensé ce durant ce voyage	qu'ils possédaient a été dépensé ce durant ce voyage	[11351, 9839, 7032, 32761, 29070, 7095, 24737, 7095, 32508]	que passé ils avoir payer celui-là durant celui-là voyage
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-96	et toi tu m'insultes	et toi tu m'insultes	[11399, 6625, 6632, 8139]	et toi me insulter
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-82	job murmura que	job murmura que	[9839, 36935, 11611, 11351]	passé haut_du_corps qu'as-tu_dit? que
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-157	et la façon dont j'ai créé le monde	et la façon dont j'ai créé le monde	[11399, 8476, 9839, 6632, 11698, 30014]	et le passé me produire planète_terre
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-29	quelques jours plus tard	quelques jours plus tard	[36513, 7022, 13080]	n'importe_qui journée suite_
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-74	et ils n'avaient plus pour consoler job que leurs paroles	et ils n'avaient plus pour consoler job que leurs paroles	[11399, 9839, 7032, 32761, 5508, 7194, 7064, 36935, 11351, 12278]	et passé ils avoir plus_ pour avec haut_du_corps que leurs
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-136	pourquoi vous joignez-vous à dieu pour me torturer	pourquoi vous joignez-vous à dieu pour me torturer	[24763, 7304, 31356, 7304, 7041, 35069, 7194, 6632, 30850]	pourquoi vous aboucher vous à dieu pour me notre_père
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-120	vous vous prétendez sage mais vos paroles sont imbéciles et idiotes	vous vous prétendez sage mais vos paroles sont imbéciles et idiotes	[7304, 5441, 4581, 11377, 12283, 36480, 8618, 11399, 15483]	vous vouloir sage alors_que à_toi être fou et bêtise
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-50	et lui dit ne te réjouis pas trop vite	et lui dit ne te réjouis pas trop vite	[11399, 6481, 9693, 39090, 5526, 25708, 37850]	et lui dire adrénaline non trop vite
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-7	et trois mille ânesses	et trois mille ânesses	[11399, 2629, 29258, 2291]	et trois 1000 âne
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-111	il se passa toute une journée	il se passa toute une journée	[6480, 31999, 5596, 8474, 7022]	il passer tout une journée
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-20	touche un peu à ses richesses	touche un peu à ses richesses	[39051, 29105, 7041, 12276, 37803, 3417]	tâter seconde à ses riche !
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-185	il lui donna quatorze mille ânesses et quatorze mille chameaux trois mille brebis et trois mille paires de boeufs	il lui donna quatorze mille ânesses et quatorze mille chameaux trois mille brebis et trois mille paires de boeufs	[9839, 6480, 6481, 17040, 29266, 29258, 2291, 11399, 29266, 29258, 8522, 2629, 29258, 2489, 11399, 2629, 29258, 7074, 10238]	passé il lui donner 14 1000 âne et 14 1000 chameau trois 1000 mouton et trois 1000 de boeuf
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-164	il aperçut autour de lui	il aperçut autour de lui	[9839, 6480, 36041, 5376, 7074, 6481]	passé il apercevoir alentour de lui
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-21	et tu verras s'il ne te maudit pas en face	et tu verras s'il ne te maudit pas en face	[11399, 9829, 9839, 6625, 6564, 6480, 6625, 38936, 5526, 27365]	et prochain passé toi voir il toi haïr non en_face
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-127	sofare regarda job	sofare regarda job	[9839, 36935, 6564]	passé haut_du_corps voir
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-168	je ne sais ce qui a obscurci ma pensée	je ne sais ce qui a obscurci ma pensée	[9839, 6632, 16885, 7095, 11351, 7174, 12264, 26310]	passé me savoir celui-là que devenir_brumeux mon pensée
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-138	et toi dieu montre-toi ose te présenter devant moi et qu'ensemble nous comparaissions en justice voilà mon dernier mot	et toi dieu montre-toi ose te présenter devant moi et qu'ensemble nous comparaissions en justice voilà mon dernier mot	[11399, 9839, 35069, 2549, 6625, 26144, 38570, 5438, 6632, 11399, 11351, 27091, 31672, 8148, 11709, 8612, 12264, 4765, 9837]	et passé dieu montre toi essayer nom devant me et que ensemble nous procès au juriste mon dernier mot
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-115	suivant job répondit	suivant job répondit	[27331, 37779, 9031, 3417]	suivre quelqu'un répondre_à_l’oral !
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-183	et il réinstalla job dans ses dans ses richesses	et il réinstalla job dans ses dans ses richesses	[11399, 9839, 6480, 6457, 7034, 12276, 7034, 12276, 37803]	et passé il acheter dans ses dans ses riche
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-62	et quelques jours plus tard satan envoya job une lèpre maligne qui le démangeait depuis la plante des pieds jusqu'au sommet du crâne et job job qui avait tout perdu job qui était devenu l'homme le plus pauvre du village job dont le le corps n'était plus qu'une plaie sanguinolente qu'il raclait avec des éclats de poterie	et quelques jours plus tard satan envoya job une lèpre maligne qui le démangeait depuis la plante des pieds jusqu'au sommet du crâne et job job qui avait tout perdu job qui était devenu l'homme le plus pauvre du village job dont le le corps n'était plus qu'une plaie sanguinolente qu'il raclait avec des éclats de poterie	[11399, 36513, 7022, 13080, 9839, 36935, 21828, 36935, 8474, 37819, 31226, 11351, 8476, 11356, 7077, 8476, 3143, 7074, 37227, 11709, 20391, 7074, 5697, 11399, 36935, 11351, 5596, 24760, 36935, 11351, 36434, 8476, 4665, 8476, 5508, 16843, 7074, 38586, 36935, 8476, 17022, 36480, 5508, 8474, 37856, 11351, 6480, 37315, 7064, 5374, 3369, 7074, 29706]	et n'importe_qui journée suite_ passé haut_du_corps envoyer haut_du_corps une strabisme malin que le se_gratter depuis le plante de pieds au sommet de crâne et haut_du_corps que tout perdre haut_du_corps que devenir_sérieux le homme le plus_ pauvre de village haut_du_corps le corps être plus_ une gratter_une_blessure que il gratter avec plusieurs éclat de jarre
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-80	durant sept jours	durant sept jours	[24737, 7248, 7022]	durant 7 journée
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-151	pour oser mettre en doute ma justice où étais-tu quand je posais les fondements du monde	pour oser mettre en doute ma justice où étais-tu quand je posais les fondements du monde	[7194, 26144, 6989, 11709, 11696, 12264, 8612, 7764, 36480, 6625, 32874, 6632, 25347, 8477, 7074, 30015]	pour essayer mettre au doute mon juriste où être toi quand me poser les de globe
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-2	et juste qui respectait dieu	et juste qui respectait dieu	[11399, 21381, 9839, 11351, 36720, 35069]	et juste passé que respecter dieu
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-123	c'est avec dieu que je veux parler	c'est avec dieu que je veux parler	[7095, 36480, 7064, 35069, 11351, 5441, 6517]	celui-là être avec dieu que vouloir parler
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-5	ses terres s'étendaient à l'infini	ses terres s'étendaient à l'infini	[9839, 12276, 3160, 5593, 17322]	passé ses terre étendre chaque_fois
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-14	est-ce que tu as remarqué mon serviteur job	est-ce que tu as remarqué mon serviteur job	[9839, 3418, 6625, 37163, 25087, 12264, 6459, 37779]	passé est-ce_que toi une_autre_fois marquer mon automobiliste quelqu'un
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-122	eût passé pour de la sagesse non	eût passé pour de la sagesse non	[31999, 7194, 7074, 8476, 4581, 5525]	passer pour de le sage non
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-176	mais non job tout ce qui est sous le ciel est à moi	mais non job tout ce qui est sous le ciel est à moi	[11377, 5525, 2497, 5596, 7095, 11351, 36480, 5437, 8476, 38270, 36480, 12264]	alors_que non père tout celui-là que être en_dessous le ciel être mon
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-22	dieu réfléchit un court instant	dieu réfléchit un court instant	[35069, 38796, 2627, 26002, 22633]	dieu penser un court instant
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-118	mais je ne veux plus parler avec vous vos paroles	mais je ne veux plus parler avec vous vos paroles	[11377, 5441, 5508, 6517, 7064, 7304, 12283]	alors_que vouloir plus_ parler avec vous à_toi
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-55	il avait gagné son pari	il avait gagné son pari	[9839, 6480, 7218, 12272, 4729]	passé il gagner son loto_foot
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-91	et à l'aube du jour suivant job s'écria comment oses-tu me parler ainsi hélifaz toi mon plus vieux compagnon	et à l'aube du jour suivant job s'écria comment oses-tu me parler ainsi hélifaz toi mon plus vieux compagnon	[11399, 7041, 8476, 29965, 7074, 37371, 27331, 9839, 37779, 5990, 22619, 26144, 6625, 6632, 6517, 6625, 12264, 5508, 25796, 37799]	et à le aube de jour suivre passé quelqu'un apparaitre comment essayer toi me parler toi mon plus_ vieux chéri
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-85	et lui dit ne blasphème pas job que savons nous nous les hommes nous ne sommes nés que d'hier nos jours ne sont qu'	et lui dit ne blasphème pas job que savons nous nous les hommes nous ne sommes nés que d'hier nos jours ne sont qu'	[11399, 6481, 9693, 5526, 37779, 11351, 16885, 31672, 8477, 4665, 31672, 37980, 11351, 38279, 25736, 36480]	et lui dire non quelqu'un que savoir nous les homme nous naître que hier immédiatement être
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-95	le malheureux a droit la pitié de ses amis	le malheureux a droit la pitié de ses amis	[8476, 35545, 21014, 8476, 7074, 12276, 25792]	le malheureux permettre le de ses relation
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-137	sachez que jusqu'à mon dernier souffle je proclamerai mon innocence	sachez que jusqu'à mon dernier souffle je proclamerai mon innocence	[16885, 11351, 7771, 12264, 4765, 30954, 9829, 6632, 12264, 3417]	savoir que jusqu’à mon dernier exploser prochain me mon !
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-13	et à tous ses enfants dieu demandait alors qu'as-tu vu sur la terre	et à tous ses enfants dieu demandait alors qu'as-tu vu sur la terre	[11399, 7041, 5596, 12276, 6975, 9839, 35069, 9840, 11377, 32761, 6625, 6564, 5451, 8476, 3160]	et à tout ses enfants passé dieu demander alors_que avoir toi voir sur le terre
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-24	soit je mets entre tes mains	soit je mets entre tes mains	[6632, 6989, 7765, 12283, 9830]	me mettre entre à_toi mains
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-101	dieu se rit du malheur des innocents voilà	dieu se rit du malheur des innocents voilà	[9839, 35069, 30638, 35551, 7074, 4581]	passé dieu rire_de chagriner de sage
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-31	un serviteur arriva hors d'haleine chez job	un serviteur arriva hors d'haleine chez job	[9839, 2627, 16807, 5475, 7074, 12333]	passé un arrive dehors de association_à_but_non_lucratif
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-17	quand après tous les autres satan se présenta devant dieu il répondit à dieu le mérite de job	quand après tous les autres satan se présenta devant dieu il répondit à dieu le mérite de job	[32874, 32749, 5596, 8477, 17056, 9839, 36935, 38570, 5438, 35069, 6480, 9031, 7041, 35069, 8476, 37136, 7074, 37779]	quand après tout les autres passé haut_du_corps nom devant dieu il répondre_à_l’oral à dieu le menacer de quelqu'un
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-105	tu te prétends juste et sans péché	tu te prétends juste et sans péché	[6625, 5441, 21381, 11399, 7813]	toi vouloir juste et sans
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-84	alors le plus âgé des vieillards se redressa	alors le plus âgé des vieillards se redressa	[8476, 5508, 9839, 36217, 7074, 8152]	le plus_ passé âgé de se_redresser
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-63	et bien jog job a traversé le village est allé s'installer dans la poussière à la sortie du village pas loin de l'endroit où les villageois jetaient leurs détritus	et bien jog job a traversé le village est allé s'installer dans la poussière à la sortie du village pas loin de l'endroit où les villageois jetaient leurs détritus	[11399, 5397, 9839, 37779, 37344, 8476, 38586, 8142, 2872, 7034, 8476, 24312, 7041, 8476, 11364, 7074, 38586, 5526, 30385, 8476, 11696, 7764, 8477, 36673, 12278]	et heureusement passé quelqu'un traverser_ le village aller mettre_dans_l'ordre dans le poussière à le sortie de village non loin le doute où les jeter leurs
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-124	il est la cause de tout	il est la cause de tout	[6480, 36480, 8476, 12295, 7074, 5596]	il être le raison de tout
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-178	et les sermonna pour les paroles stupides	et les sermonna pour les paroles stupides	[11399, 8477, 7194, 8477]	et les pour les
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-75	mais lorsqu'ils aperçurent ce qu'ils virent	mais lorsqu'ils aperçurent ce qu'ils virent	[11377, 24053, 9839, 7032, 36041, 7095, 11351, 7032, 6564]	alors_que quand passé ils apercevoir celui-là que ils voir
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-66	ne dois-je pas aussi accepter le malheur	ne dois-je pas aussi accepter le malheur	[15523, 6632, 5526, 25752, 8476, 35551]	devoir me non accepter le chagriner
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-35	et à peine avait-il terminé	et à peine avait-il terminé	[11399, 5546, 32761, 6480, 32814]	et peu avoir il terminer
cefc-frenchoralnarrative-Buleon_049-7_LE_LIVRE_DE_JOB-189	job vécut encore cent quarante ans	job vécut encore cent quarante ans	[9839, 11605, 37163, 29320, 6903]	passé vivre une_autre_fois 40 année
cefc-frenchoralnarrative-Bizouerne_055-5_POKOU_2-6	à jamais restera dans le coeur la mémoire du peuple baoulé du peuple baoulé	à jamais restera dans le coeur la mémoire du peuple baoulé du peuple baoulé	[7041, 5527, 27206, 7034, 8476, 2715, 8476, 37369, 7074, 38444, 7074, 38444]	à jamais rester dans le cœur_humain le se_souvenir de gens de gens
cefc-frenchoralnarrative-Bizouerne_055-5_POKOU_2-63	un troisième un quatrième les gens affolés par les cris qui se rapprochaient ont commencé à sourire une flamme de force	un troisième un quatrième les gens affolés par les cris qui se rapprochaient ont commencé à sourire une flamme de force	[2627, 34447, 2627, 34475, 9839, 8477, 38444, 37772, 7212, 8477, 37924, 11351, 6879, 5431, 7041, 13354, 8474, 4654, 7074, 36539]	un troisième un quatrième passé les gens terrifiant par les appel que approcher commencer à rire une feu de force
cefc-frenchoralnarrative-Bizouerne_055-5_POKOU_2-53	mais la mère était aussi une reine	mais la mère était aussi une reine	[11377, 9839, 8476, 31148, 36480, 8474, 5559]	alors_que passé le mère être une reine
cefc-frenchoralnarrative-Bizouerne_055-5_POKOU_2-30	à jamais demeurera dans le coeur la mémoire du peuple baoulé un matin	à jamais demeurera dans le coeur la mémoire du peuple baoulé un matin	[7041, 5527, 35103, 7034, 8476, 2715, 8476, 37369, 7074, 38444, 2627, 25704]	à jamais demeurer dans le cœur_humain le se_souvenir de gens un matin
